N,run,C,k
25,67,1.4022494538937225,20
25,68,1.4166056032294996,20
25,69,1.4107658085510815,20
25,70,1.410322499567241,20
25,71,1.416509165208193,20
25,72,1.4056558227149587,20
25,73,1.404944404337536,20
25,74,1.4127851123083255,20
25,75,1.3998120698230585,20
25,76,1.4145876265941064,20
25,77,1.403616497803942,20
25,78,1.4039679597715466,20
25,79,1.3987690890803948,20
25,80,1.3973702488531554,20
25,81,1.416241422394224,20
25,82,1.3977035079276174,20
25,83,1.3990237047697138,20
25,84,1.4144561014531736,20
25,85,1.4140237615273294,20
25,86,1.4144495763346647,20
25,87,1.413065754094933,20
25,88,1.4179232433285074,20
25,89,1.4052964230197778,20
25,90,1.3986014122039814,20
25,91,1.412528230116129,20
25,92,1.409361629675512,20
25,93,1.3950834483175383,20
25,94,1.4166611585299922,20
25,95,1.4026096864523516,20
25,96,1.4151241604597473,20
25,97,1.4067157366685126,20
25,98,1.3947117698239886,20
25,99,1.416157239461678,20
25,100,1.4009632276579411,20
30,1,1.422231583688571,20
30,2,1.4099145890655151,20
30,3,1.4148721450071178,20
30,4,1.418013645566702,20
30,5,1.4173223585852686,20
30,6,1.4221292549655848,20
30,7,1.414153596718989,20
30,8,1.4156327280587269,20
30,9,1.4148146400986168,20
30,10,1.3983646836309191,20
30,11,1.397245346453862,20
30,12,1.416560655873566,20
30,13,1.3952306865877167,20
30,14,1.415094920051163,20
30,15,1.4095678187789413,20
30,16,1.4037492100508884,20
30,17,1.4152778069430363,20
30,18,1.4131977472785284,20
30,19,1.3915518460286744,20
30,20,1.415148755700876,20
30,21,1.4149633008413527,20
30,22,1.4137631619108493,20
30,23,1.4118268147483437,20
30,24,1.4138067966204153,20
30,25,1.4160902093583674,20
30,26,1.3925287271464095,20
30,27,1.419421343863594,20
30,28,1.4198805967215442,20
30,29,1.4147192375366668,20
30,30,1.4146760181918907,20
30,31,1.416145416886849,20
30,32,1.4178500900696047,20
30,33,1.4133808812564221,20
30,34,1.41726354330635,20
30,35,1.4093349047889878,20
30,36,1.4187651194896633,20
30,37,1.40117228033725,20
30,38,1.3946773318120516,20
30,39,1.4152125944542835,20
30,40,1.4126195571558118,20
30,41,1.4173802440078271,20
